Id,Title,Zip,Town,Price,Surface,NumberOfRooms,Description
8180470,Penthouse,1050,Ixelles,785000,175,3,Véritable Penthouse dans le Quartier Louise/Châtelain
8289513,Appartement,1050,Ixelles,495000,190,3,"Solbosch : Penthouse 190m², 3 chambres"
8304671,Appartement,1050,Ixelles,600000,220,4,"Châtelain, luxeux appartement 3/4 ch avec garage"
8241108,Appartement,1050,Ixelles,500000,116,3,"Appartement neuf,  3 chambres, 116 m², avec terrasse, prox."
7933153,KING CHARLES - Immeuble A - projet de 25 unités,1050,Ixelles,,56,3,"KING CHARLES û Chaussée de Charleroi, nouvelle promotion hau"
8237345,SECRET GARDEN - projet de 26 unités,1050,Ixelles,,49,3,"Ixelles | Appartements 1-2-3 ch, studios & penthouses"
7933179,KING CHARLES - Immeuble B - projet de 23 unités,1050,Ixelles,,60,3,"KING CHARLES û Chaussée de Charleroi, nouvelle promotion hau"
8125854,Appartement,1050,Ixelles,1750000,213,3,"Avenue Louise, appartement de prestige neuf, 3 chambres, 213"
7928217,Appartement,1050,Ixelles,1850000,300,4,"Louise - Châtelain, appartement 4ch, 300 m²"
8163541,Appartement,1050,Ixelles,486200,139,3,Appartement dans nouvelle construction au coeur de Flagey
8191821,"""Queen 1839"" - projet de 21 unités",1050,Ixelles,,37,4,Queen 1839
8191843,"""Louise 430"" - projet de 6 unités",1050,Ixelles,,112,4,Louise 430
8197649,Appartement,1050,Ixelles,390000,100,3,SOUS-OFFRE: Flagey-Institutions Européennes : Spacieux appar
7784334,Appartement,1050,1050,486200,140,3,Splendide appartement neuf - Etangs d'Ixelles / Flagey
8216266,Appartement,1050,Ixelles,495000,164,3,Triangle Châtelain-Stéphanie-Flagey: Appartement de +/-160 m
8169157,Appartement,1050,Ixelles,495000,155,3,VENDU  Inscrivez-vous maintenant sur www.latouretpetit.be
8104679,Appartement,1050,Ixelles,595000,170,3,A la frontière avec Boitsfort
8156927,Appartement,1050,Ixelles,595000,211,3,Louise - Superbe appartement 3 ch. + garage sis dans un imme
8029366,Appartement,1050,Ixelles,595000,160,3,Appartement
8148631,Duplex,1050,Ixelles,675000,172,3,Lumineux duplex de caractère à proximité des Etangs d'Ixelle
7831410,Appartement,1050,Ixelles,699000,230,3,Ixelles - App. de 248 m² entièrement rénové
8087708,Appartement,1050,Ixelles,790000,227,3,"Bel appartement - Volumes, charme et caractère + garage incl"
8132102,Appartement,1050,Ixelles,850000,275,5,Magnifique appartement
8239245,Penthouse,1050,Ixelles,989600,137,3,PENTHOUSE NEUF DISPONIBLE IMMEDIATEMENT !
8175150,Penthouse,1050,Ixelles,1395000,200,4,Rue des Drapiers - Penthouse 3/4  chambres avec terrasse et
8269659,Appartement,1050,Bruxelles,1650000,283,3,Paris à Bruxelles-Pure élégance
8104468,Appartement,1050,Ixelles,2500000,346,4,Un rêve uniquement pour les plus exigeants
7967798,Appartement,1050,Ixelles,725000,137,3,"Toison d'Or, appartement neuf 2/3 ch avec terrasse"
8102445,Duplex,1050,Ixelles,750000,180,3,Proximité Louise-Bascule appartement rénové en 2019
7967670,Appartement,1050,Ixelles,760000,153,3,"Toison d'Or, appartement neuf 3 ch avec terrasse"
7971680,Appartement,1050,Ixelles,1950000,211,3,"Toison d'Or, spacieux appartement neuf avec terrasse"
7813264,Appartement,1050,Ixelles,3297000,305,3,"Toison d'Or, appartement neuf 3 ch avec terrasse"
7976982,Appartement,1050,Ixelles,3324000,308,3,"Toison d'Or, spacieux appartement neuf avec terrasse"
8299826,Appartement,1050,Ixelles,855000,179,3,Proximité av. Franklin Roosevelt bel appartement de caract
8094358,Appartement,1050,Ixelles,680000,138,3,Louise - Place St Boniface
7037272,ELYSEE - projet de 89 unités,1050,Ixelles,,37,3,Visitez les appartements achevés et libres à l'acte. Situé au ...
8234389,"""Quadrian"" - projet de 52 unités",1050,Ixelles,,53,3,Quadrian
8125809,LOUISE 228 - projet de 2 unités,1050,Bruxelles,,226,3,LOUISE 228 - L'élégance à deux pas du centre
8237399,Appartement,1050,Ixelles,419000,135,3,Louise / Bois de la Cambre
8132668,Appartement,1050,Ixelles,1640000,285,3,Superbe appartement rénové
8032872,Appartement,1050,Ixelles,1985000,185,3,APPARTEMENT DE HAUT STANDING DANS LE BUILDING CONTEMPORAIN A
8225324,Cond'Or - projet de 12 unités,1050,Ixelles,,93,3,COND D'OR | Appartements exceptionnels à découvrir !
8187748,Appartement,1050,Ixelles,1839000,203,3,APPARTEMENT de 203 m² & Terrasse de 75 m² !
8167473,Penthouse,1050,Ixelles,1900000,285,3,"Penthouse neuf d'exception, 3 chambres, 285m², avec 43m² de"
8278199,Appartement,1050,Ixelles,320000,105,3,"Quartier Roosevelt-Hippodrome, agréable appartement dans une"
8167974,Appartement,1050,Ixelles,395000,130,3,OPTION - Appartement 2ch + bureau avec vue dégagée
7926000,Appartement,1050,Ixelles,655000,182,3,Très bel appartement dans le quartier de La Cambre
8180305,Appartement,1050,Ixelles,895000,250,3,"Louise, Bois de la Cambre, bel appartement 250m² + 34m² de t"
8180304,Appartement,1050,BRUXELLES,980000,240,3,"Louise, Bois de la Cambre, bel appartement 240m² + 30m² de t"
7976466,Appartement,1050,Ixelles,1839000,203,3,"Toison d'Or, spacieux appartement neuf avec terrasse"
8062037,Balmoral - projet de 31 unités,1050,Bruxelles,,39,3,L'art de vivre version XL
8293901,projet de 5 unités,1050,Ixelles,,78,3,Projet Le Bailli - LIVRAISON JUIN 2020
8010668,Appartement,1050,Ixelles,413000,103,3,Achetez neuf et emménagez à l'acte
8011723,Appartement,1050,Ixelles,460000,103,3,Dernière opportunité! Prêt à emménager!
8010693,Appartement,1050,Ixelles,480000,116,3,Achetez neuf et emménagez  à l'acte.
8187445,Penthouse,1050,Ixelles,748400,127,3,"Superbe Penthouse entièrement décoré, à visiter !"
8011722,Appartement,1050,Ixelles,759000,128,3,Achetez neuf et emménagez à l'acte
8194736,Appartement,1050,Ixelles,1240000,230,4,Ixelles I Louise
7294830,Penthouse,1050,Ixelles,1450000,171,3,Penthouse 3 chambres sur l'Avenue Louise avec vue 360°
8139482,Penthouse,1050,Bruxelles,1950000,226,3,LOUISE 228 - L'élégance à deux pas du centre
8026282,projet de 3 unités,1050,Ixelles,,135,3,Projet LOUISE 228 - LIVRAISON AUTOMNE 2019
8223448,Duplex,1050,Ixelles,790000,175,3,"Lepoutre, duplex 3 chambres ± 175 m² + 21m² de terrasse !"
8197455,Appartement,1050,Ixelles,795000,225,3,Prox. Hippodrome superbe appartement de 225m2 dans immeuble
8170927,Appartement,1050,Ixelles,1850000,335,3,FACE AU JARDIN DU ROY BEL APPARTEMENT DE 335 m2
7092884,QUEEN1839 - projet de 25 unités,1050,Ixelles,,37,4,"Au coeur d'Ixelles, nouvelle Résidence de l'architecte Marc"
7753804,Elysée - projet de 16 unités,1050,Ixelles,,67,3,Place Fernand Cocq
8057587,Appartement,1050,Ixelles,3297000,305,3,"Au coeur de Bruxelles, incroyable appartement 3 chambres"
8227268,Appartement,1050,Ixelles,3370000,3,3,"Penthouse, Avenue de la Toison d'Or. Situation exceptionnell"
8288431,Le Bailli - projet de 5 unités,1050,Ixelles,,78,3,"PLUS QUE 5 APPARTEMENTS – VENTE SOUS TVA à 12,5%"
